name,spec,price,link
Holiday villa with heated pool in Dordogne - AD004750,"Bedrooms 3, Sleeps 6, Ratings 7 9.9/10",£750 to £1650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004750/index.htm
"Holiday cottage in rural Normandy, Calvados - NC005237","Bedrooms 3, Sleeps 7, Ratings 3 9.3/10",£595 to £750 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC005237/index.htm
"Self catering gite to rent, Charente Maritime - PM003940","Bedrooms 1, Sleeps 2, Ratings 2 9.9/10",£395 to £795 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003940/index.htm
Holiday let in rural Dordogne + private pool - AD004389,"Bedrooms 3, Sleeps 6",£400 to £900 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004389/index.htm
Brittany cottage with garden and heated pool - BN002849,"Bedrooms 3, Sleeps 5",£650 to £1250 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002849/index.htm
"Gite for 6 with heated pool, Deux Sevres - PS005821","Bedrooms 3, Sleeps 6",£600 to £1250 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005821/index.htm
Lakeside stone cottage to let in Brittany - BI005242,"Bedrooms 2, Sleeps 4, Ratings 11 9.7/10",£650 to £790 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI005242/index.htm
Apartment with pool to let in La Rochelle - PM005825,"Bedrooms 1, Sleeps 4, Ratings 1 10/10",£500 to £580 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005825/index.htm
Gite to let in Chateau grounds in Serrigny - GY006453,"Bedrooms 3, Sleeps 6",£750 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/GY006453/index.htm
"Holiday home rental near Pouzauges, Vendée - LV002422","Bedrooms 4, Sleeps 10, Ratings 1 10/10",£800 to £900 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV002422/index.htm
Studio holiday let close beach 15km Beziers - RH003084,"Bedrooms 1, Sleeps 2",£395 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RH003084/index.htm
Spacious holiday gite to let in Deux Sevres - PS005838,"Bedrooms 2, Sleeps 4",£455 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005838/index.htm
Three gites for holiday rental in Souvigne - PS001609_A,"Bedrooms 3, Sleeps 6",£395 to £725 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS001609_A/index.htm
Stone house for rental in Mayenne - LM003932,"Bedrooms 5, Sleeps 12, Ratings 3 7.5/10",£900 to £1950 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LM003932/index.htm
Holiday rental gite & pool 40 mins Le Mans - LL004213,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£750 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL004213/index.htm
Cottage with fishing lake to let in Limousin - UH004671,"Bedrooms 2, Sleeps 6, Ratings 3 9.8/10",£475 to £675 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/UH004671/index.htm
Self catering holiday let in Dordogne - AD003590,"Bedrooms 2, Sleeps 6",£250 to £450 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD003590/index.htm
Well renovated holiday Gite in rural Normandy - NO006827,"Bedrooms 3, Sleeps 6, Ratings 4 9.9/10",£750 to £850 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO006827/index.htm
Gite for holiday let in Languedoc - RA005019,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£499 to £899 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA005019/index.htm
Fully Equipped Holiday gite for 2 in Dordogne - AD007050,"Bedrooms 1, Sleeps 2",£529 to £925 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007050/index.htm
Holiday cottage to let near Rocamadour - ML006865,"Bedrooms 3, Sleeps 5, Ratings 1 10/10",£380 to £980 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML006865/index.htm
"Delightful 2 bedroom gite, Charente Maritime - PM005589","Bedrooms 2, Sleeps 5, Ratings 1 8.8/10",£200 to £650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005589/index.htm
Mobile home to let on lovely site in Vendee - LV007311,"Bedrooms 2, Sleeps 7",£650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007311/index.htm
Holiday cottage to let in Brittany - BM003295_E,"Bedrooms 3, Sleeps 5, Ratings 6 10/10",€700 to €1190 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003295_E/index.htm
Family gite accommodation nr St Jean-d'Angély - PM002197_E,"Bedrooms 3, Sleeps 6",£445 to £975 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002197_E/index.htm
"Normandy Holiday Cottage Rental, Le Teilleul - NM007715","Bedrooms 4, Sleeps 12",£550 to £850 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007715/index.htm
Holiday house near to beaches in Normandy - NM007450,"Bedrooms 4, Sleeps 8",£850 to £920 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007450/index.htm
"Large holiday let, private pool, rural Gers - MG005483","Bedrooms 4, Sleeps 8",£1950 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/MG005483/index.htm
